ITEM,TELAS,TÉCNICA,DIMENSÃO ,ANO,VALOR (R$),VALOR_PIX,PARCELAMENTO,CATEGORIA
1,PORTAS E JANELAS 1,ACRÍLICA SOBRE TELA,100 X 60,2018,"  6.000,00 ","  5.700,00 ",5% À VISTA/ 6 VEZES,TELAS
2,PORTAS E JANELAS 2,ACRÍLICA SOBRE TELA,70 X 120,2024,"  8.400,00 ","  7.980,00 ",5% À VISTA/ 6 VEZES,TELAS
3,PORTAS E JANELAS 3,ACRÍLICA SOBRE TELA,53 X 73,2024,"  3.860,00 ","  3.667,00 ",5% À VISTA/ 6 VEZES,TELAS
4,PORTAS E JANELAS 4,ACRÍLICA SOBRE TELA,50 X 70,2024,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS
5,PORTAS E JANELAS 5 ,ACRÍLICA SOBRE TELA,70 X 100,2024,"  7.000,00 ","  6.650,00 ",5% À VISTA/ 6 VEZES,TELAS
6,CASA CURITIBA 1,ACRÍLICA SOBRE TELA,70 X 120,2019,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS
7,CASA CURITIBA 2,ACRÍLICA SOBRE TELA,70 X 120,2019,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS
8,FUSCA VERMELHO,ACRÍLICA SOBRE TELA,70 X 50,2006,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS
9,WALKING,ACRÍLICA SOBRE TELA,75 x 102,2024,"  7.500,00 ","  7.125,00 ",5% À VISTA/ 6 VEZES,TELAS
10,SUCATA,ACRÍLICA SOBRE TELA,50 X 70,2005,  -   ,  -   ,5% À VISTA/ 6 VEZES,TELAS
11,STREET DANCE,ACRÍLICA SOBRE TELA,50 X 70,2011,  -   ,  -   ,5% À VISTA/ 6 VEZES,TELAS
12,PILATES,ACRÍLICA SOBRE TELA,50 X 70,2012,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS
13,OLD TIMES,ACRÍLICA SOBRE TELA,50 X 70,2012,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS
14,CENAS URBANAS,ACRÍLICA SOBRE TELA,76 X 106,2006,"  4.800,00 ","  4.560,00 ",5% À VISTA/ 6 VEZES,TELAS
15,FERRO VELHO,ACRÍLICA SOBRE TELA,70 X 120,2023,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS
16,MAN 1,NANQUIM SOBRE PAPEL,"17 X 28,5",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS
17,MAN 2 (CINZA),NANQUIM SOBRE PAPEL,21 X 30,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS
18,MAN 3,NANQUIM SOBRE PAPEL,"11,5 X 25",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS
19,U2,NANQUIM SOBRE PAPEL,29 X 21,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS
