item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,imagem_nome,fotos,status,qr link,qr_export_file,link_pix,link_mp,data_hora,tipo_transacao
1,PORTAS E JANELAS 1,ACRÍLICA SOBRE TELA,100 X 60,2018,"  6.000,00 ","  5.700,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 01...PORTAS E JANELAS 1.jpg,REF 01...PORTAS E JANELAS 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_1/index.html,qr_2.png,link_pix,link_mp,data_hora_venda,tipo_transacao
2,PORTAS E JANELAS 2,ACRÍLICA SOBRE TELA,70 X 120,2024,"  8.400,00 ","  7.980,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 02...PORTAS E JANELAS 2.jpg,REF 02...PORTAS E JANELAS 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_2/index.html,qr_3.png,link_pix,link_mp,data_hora_venda,tipo_transacao
3,PORTAS E JANELAS 3,ACRÍLICA SOBRE TELA,53 X 73,2024,"  3.860,00 ","  3.667,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 03...PORTAS E JANELAS 3.jpg,REF 03...PORTAS E JANELAS 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_3/index.html,qr_4.png,link_pix,link_mp,data_hora_venda,tipo_transacao
4,PORTAS E JANELAS 4,ACRÍLICA SOBRE TELA,50 X 70,2024,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 04 ...PORTAS E JANELAS 4.jpg,REF 04 ...PORTAS E JANELAS 4.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_4/index.html,qr_5.png,link_pix,link_mp,data_hora_venda,tipo_transacao
5,PORTAS E JANELAS 5 ,ACRÍLICA SOBRE TELA,70 X 100,2024,"  7.000,00 ","  6.650,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 05 - PORTAS E JANELAS 5.jpg,REF 05 - PORTAS E JANELAS 5.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_5/index.html,qr_6.png,link_pix,link_mp,data_hora_venda,tipo_transacao
6,CASA CURITIBA 1,ACRÍLICA SOBRE TELA,70 X 120,2019,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 06 - CASA CURITIBA 1.jpg,REF 06 - CASA CURITIBA 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_6/index.html,qr_7.png,link_pix,link_mp,data_hora_venda,tipo_transacao
7,CASA CURITIBA 2,ACRÍLICA SOBRE TELA,70 X 120,2019,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 07 - CASA CURITIBA 2.jpg,REF 07 - CASA CURITIBA 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_7/index.html,qr_8.png,link_pix,link_mp,data_hora_venda,tipo_transacao
8,FUSCA VERMELHO,ACRÍLICA SOBRE TELA,70 X 50,2006,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 08-FUSCA VERMELHO.jpg,REF 08-FUSCA VERMELHO.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_8/index.html,qr_9.png,link_pix,link_mp,data_hora_venda,tipo_transacao
9,WALKING,ACRÍLICA SOBRE TELA,75 x 102,2024,"  7.500,00 ","  7.125,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 09 - WALKING.png,REF 09 - WALKING.png,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_9/index.html,qr_10.png,link_pix,link_mp,data_hora_venda,tipo_transacao
10,SUCATA,ACRÍLICA SOBRE TELA,50 X 70,2005,  -   ,  -   ,5% À VISTA/ 6 VEZES,TELAS,REF 10-SUCATA.jpg,REF 10-SUCATA.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_10/index.html,qr_11.png,link_pix,link_mp,data_hora_venda,tipo_transacao
11,STREET DANCE,ACRÍLICA SOBRE TELA,50 X 70,2011,  -   ,  -   ,5% À VISTA/ 6 VEZES,TELAS,REF 11 - STREET DANCE.jpg,REF 11 - STREET DANCE.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_11/index.html,qr_12.png,link_pix,link_mp,data_hora_venda,tipo_transacao
12,PILATES,ACRÍLICA SOBRE TELA,50 X 70,2012,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 12-PILATES.jpg,REF 12-PILATES.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_12/index.html,qr_13.png,link_pix,link_mp,data_hora_venda,tipo_transacao
13,OLD TIMES,ACRÍLICA SOBRE TELA,50 X 70,2012,"  3.500,00 ","  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 13 - OLD TIMES.jpg,REF 13 - OLD TIMES.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_13/index.html,qr_14.png,link_pix,link_mp,data_hora_venda,tipo_transacao
14,CENAS URBANAS,ACRÍLICA SOBRE TELA,76 X 106,2006,"  4.800,00 ","  4.560,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 14-CENAS URBANAS.jpg,REF 14-CENAS URBANAS.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_14/index.html,qr_15.png,link_pix,link_mp,data_hora_venda,tipo_transacao
15,FERRO VELHO,ACRÍLICA SOBRE TELA,70 X 120,2023,"  6.720,00 ","  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,REF 15-FERRO VELHO.png,REF 15-FERRO VELHO.png,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_15/index.html,qr_16.png,link_pix,link_mp,data_hora_venda,tipo_transacao
16,MAN 1,NANQUIM SOBRE PAPEL,"17 X 28,5",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 16- MAN 1.jpg,REF 16- MAN 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_16/index.html,qr_17.png,link_pix,link_mp,data_hora_venda,tipo_transacao
17,MAN 2 (CINZA),NANQUIM SOBRE PAPEL,21 X 30,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 17-MAN 2.jpg,REF 17-MAN 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_17/index.html,qr_18.png,link_pix,link_mp,data_hora_venda,tipo_transacao
18,MAN 3,NANQUIM SOBRE PAPEL,"11,5 X 25",1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 18 - MAN 3.jpg,REF 18 - MAN 3.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_18/index.html,qr_19.png,link_pix,link_mp,data_hora_venda,tipo_transacao
19,U2,NANQUIM SOBRE PAPEL,29 X 21,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 19-U2.jpg,REF 19-U2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_19/index.html,qr_20.png,link_pix,link_mp,data_hora_venda,tipo_transacao
20,PAUL SIMONON,NANQUIM SOBRE PAPEL,19 X 24,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 20-PAUL SIMONON.jpg,REF 20-PAUL SIMONON.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_20/index.html,qr_21.png,link_pix,link_mp,data_hora_venda,tipo_transacao
21,VOLLEY,NANQUIM SOBRE PAPEL,21 X 21,1988,"  400,00 ","  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 21-VOLLEY.jpg,REF 21-VOLLEY.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_21/index.html,qr_22.png,link_pix,link_mp,data_hora_venda,tipo_transacao
22,SKATE 1,NANQUIM SOBRE PAPEL,"15 X 28,5",1988,"  300,00 ","  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 22-SKATE 1.jpg,REF 22-SKATE 1.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_22/index.html,qr_23.png,link_pix,link_mp,data_hora_venda,tipo_transacao
23,SKATE 2,NANQUIM SOBRE PAPEL,16 X 25,1988,"  350,00 ","  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 23 - SKATE 2.jpg,REF 23 - SKATE 2.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_23/index.html,qr_24.png,link_pix,link_mp,data_hora_venda,tipo_transacao
24,PERFIL,NANQUIM SOBRE PAPEL,"15 X 24,5",1988,"  400,00 ","  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 24 - PERFIL.jpg,REF 24 - PERFIL.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_24/index.html,qr_25.png,link_pix,link_mp,data_hora_venda,tipo_transacao
25,BLACK SHOES/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 25 - BLACK SHOES.jpg,REF 25 - BLACK SHOES.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_25/index.html,qr_26.png,link_pix,link_mp,data_hora_venda,tipo_transacao
26,OLDS,NANQUIM SOBRE PAPEL,20 x 27,1988,"  300,00 ","  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 26-OLDS.jpg,REF 26-OLDS.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_26/index.html,qr_27.png,link_pix,link_mp,data_hora_venda,tipo_transacao
27,PROTÓTIPO FUSCA/ COM MOLDURA,NANQUIM SOBRE PAPEL,36 X 43,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 27-PROTÓTIPO FUSCA.jpg,REF 27-PROTÓTIPO FUSCA.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_27/index.html,qr_28.png,link_pix,link_mp,data_hora_venda,tipo_transacao
28,TORSO/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,"  600,00 ","  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,REF 28 - TORSO.jpg,REF 28 - TORSO.jpg,disponível,https://datacanuto.github.io/galeria-digital-artes/qrcodes/item_28/index.html,qr_29.png,link_pix,link_mp,data_hora_venda,tipo_transacao
