item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,op_parcelamento,link_mp
1,PORTAS E JANELAS 1,ACRÍLICA SOBRE TELA,100 X 60,2018,6000.0,"  5.700,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-582408e8-e3de-487f-bf63-59d884161692
2,PORTAS E JANELAS 2,ACRÍLICA SOBRE TELA,70 X 120,2024,8400.0,"  7.980,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-64b91cdd-a454-4f1f-aaaa-e56ce52c0d75
3,PORTAS E JANELAS 3,ACRÍLICA SOBRE TELA,53 X 73,2024,3860.0,"  3.667,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-53d867cb-d886-4214-bfba-80644ab09994
4,PORTAS E JANELAS 4,ACRÍLICA SOBRE TELA,50 X 70,2024,3500.0,"  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-2aa33aad-1ba4-4450-a3a8-36400f94c31a
5,PORTAS E JANELAS 5 ,ACRÍLICA SOBRE TELA,70 X 100,2024,7000.0,"  6.650,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d05f11dc-8330-47de-9aca-a2f74a682f3a
6,CASA CURITIBA 1,ACRÍLICA SOBRE TELA,70 X 120,2019,6720.0,"  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-8b5c2c8b-a5e9-4f51-8bb1-5053b0c1b0c6
7,CASA CURITIBA 2,ACRÍLICA SOBRE TELA,70 X 120,2019,6720.0,"  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-45ecc476-44de-40e4-8ce0-2c212cd9837f
8,FUSCA VERMELHO,ACRÍLICA SOBRE TELA,70 X 50,2006,3500.0,"  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-00159389-ebb6-4eee-8b55-cb54a488ad69
9,WALKING,ACRÍLICA SOBRE TELA,75 x 102,2024,7500.0,"  7.125,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-bc25074d-9a59-4722-b485-8260352dbbdb
10,SUCATA,ACRÍLICA SOBRE TELA,50 X 70,2005,0.0,  -   ,5% À VISTA/ 6 VEZES,TELAS,6,
11,STREET DANCE,ACRÍLICA SOBRE TELA,50 X 70,2011,0.0,  -   ,5% À VISTA/ 6 VEZES,TELAS,6,
12,PILATES,ACRÍLICA SOBRE TELA,50 X 70,2012,3500.0,"  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-07446235-f201-49d4-8e3d-b3134d9f6741
13,OLD TIMES,ACRÍLICA SOBRE TELA,50 X 70,2012,3500.0,"  3.325,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-9b2b3789-6529-4f16-971b-92a7330e7ee9
14,CENAS URBANAS,ACRÍLICA SOBRE TELA,76 X 106,2006,4800.0,"  4.560,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-dae4382e-5cf9-475f-8cac-f940a059f168
15,FERRO VELHO,ACRÍLICA SOBRE TELA,70 X 120,2023,6720.0,"  6.384,00 ",5% À VISTA/ 6 VEZES,TELAS,6,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-bd42ccd9-7804-4d14-9400-3ef972fdb551
16,MAN 1,NANQUIM SOBRE PAPEL,"17 X 28,5",1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-9c743abf-684f-4e3d-951f-db5efa07848d
17,MAN 2 (CINZA),NANQUIM SOBRE PAPEL,21 X 30,1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-25aa6dcf-11d9-43f0-a627-2f0a5215f6e2
18,MAN 3,NANQUIM SOBRE PAPEL,"11,5 X 25",1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-07e1f6a5-a613-41f1-b7a3-8f317938dc03
19,U2,NANQUIM SOBRE PAPEL,29 X 21,1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d1943776-fff2-4bda-9e1a-c6b115b4d4d5
20,PAUL SIMONON,NANQUIM SOBRE PAPEL,19 X 24,1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-33fd2f12-abf9-47ed-8556-b83e627ee546
21,VOLLEY,NANQUIM SOBRE PAPEL,21 X 21,1988,400.0,"  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-0a2960d4-9c8c-4cfa-a4ea-a868c18f4ea9
22,SKATE 1,NANQUIM SOBRE PAPEL,"15 X 28,5",1988,300.0,"  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-dfcde712-b015-4501-b05e-9a7e3c119b39
23,SKATE 2,NANQUIM SOBRE PAPEL,16 X 25,1988,350.0,"  332,50 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-da360c92-a3a3-42bc-9145-3bf9cbd8707a
24,PERFIL,NANQUIM SOBRE PAPEL,"15 X 24,5",1988,400.0,"  380,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-585445f1-2e01-4e6c-9cf3-07a307460e60
25,BLACK SHOES/ COM MOLDURA,NANQUIM SOBRE PAPEL,43 X 36,1988,600.0,"  570,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-771ed677-c922-4f7a-857a-6fd886382ee6
26,OLDS,NANQUIM SOBRE PAPEL,20 x 27,1988,300.0,"  285,00 ",5% À VISTA/ 2 VEZES,AEROGRAFIAS,2,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-19b118d1-f155-4560-a456-ce8b367cd154
