item,telas,técnica,dimensão,ano,valor (r$),valor_pix,parcelamento,categoria,link_mp_pix
1,PORTAS E JANELAS 1,ACRÍLICA SOBRE TELA,100 X 60,2018,6000.0,5700.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-c8c00105-8fe7-444b-9466-97d6dce8f6dc
2,PORTAS E JANELAS 2,ACRÍLICA SOBRE TELA,70 X 120,2024,8400.0,7980.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-76a5e19f-c99b-4383-a5f7-40f94547908e
3,PORTAS E JANELAS 3,ACRÍLICA SOBRE TELA,53 X 73,2024,3860.0,3667.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-eff94b2f-e0ff-4db0-842d-2d7d247043aa
4,PORTAS E JANELAS 4,ACRÍLICA SOBRE TELA,50 X 70,2024,3500.0,3325.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-5dd3ad13-eca8-4c76-8f46-7d6d8ab797e8
5,PORTAS E JANELAS 5 ,ACRÍLICA SOBRE TELA,70 X 100,2024,7000.0,6650.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-88023731-891f-4ccd-b590-0d83e0a4554c
6,CASA CURITIBA 1,ACRÍLICA SOBRE TELA,70 X 120,2019,6720.0,6384.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-d44014af-4665-48ff-92eb-065fbf459758
7,CASA CURITIBA 2,ACRÍLICA SOBRE TELA,70 X 120,2019,6720.0,6384.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-7cf9db80-f19c-4cdf-a60e-929f6185b093
8,FUSCA VERMELHO,ACRÍLICA SOBRE TELA,70 X 50,2006,3500.0,3325.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-b95810fc-6681-409a-8765-c79904ea5231
9,WALKING,ACRÍLICA SOBRE TELA,75 x 102,2024,7500.0,7125.0,5% À VISTA/ 6 VEZES,TELAS,https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=3041576384-49fbc7cf-8b2d-41e6-a2eb-de9831c09153
10,SUCATA,ACRÍLICA SOBRE TELA,50 X 70,2005,0.0,0.0,5% À VISTA/ 6 VEZES,TELAS,
